epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.747,1.81212,4.44052,0.87284,0.00486,0.26923,0.00454,0.00173,1.73916,4.70597,0.83885,0.00022,0.00022,0.00022
2,124.955,1.73206,2.94739,0.83822,0.00569,0.31538,0.00562,0.00162,1.7673,4.37361,0.83274,0.000450892,0.000450892,0.000450892
3,179.587,1.5119,2.23103,0.82137,0.00431,0.23846,0.00322,0.00087,1.72557,4.33637,0.83993,0.00067228,0.00067228,0.00067228
4,252.493,1.78508,2.26941,0.84975,0.00861,0.47692,0.00908,0.00518,1.58963,4.09598,0.82871,0.000884164,0.000884164,0.000884164
5,321.672,1.59247,1.83193,0.82648,0.0125,0.69231,0.02104,0.011,1.65386,3.82918,0.83413,0.00108654,0.00108654,0.00108654
6,392.372,1.43167,1.61398,0.82141,0.01444,0.8,0.07822,0.04129,1.61367,3.51469,0.83806,0.00127942,0.00127942,0.00127942
7,454.759,1.77991,1.81127,0.84474,0.63446,0.05344,0.15811,0.09445,1.62516,3.2067,0.82544,0.00146279,0.00146279,0.00146279
8,515.924,1.59311,1.69641,0.85547,0.1235,0.07692,0.11127,0.06218,1.48607,3.07941,0.83372,0.00163666,0.00163666,0.00163666
9,575.72,1.6231,1.73376,0.84108,0.92537,0.47689,0.77765,0.37897,1.64138,2.14856,0.84227,0.0016832,0.0016832,0.0016832
10,635.032,1.49219,1.51675,0.82639,0.89375,0.51769,0.79761,0.40901,1.4638,1.86129,0.83572,0.0016436,0.0016436,0.0016436
